№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0330100010521000018;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000018;Подача заявок;"Разработка рабочей документации по объекту:""Капитальный ремонт автомобильнойдорогиобщего пользования федеральногозначения А-114 Вологда - Тихвин - автомобильнаядорогаР-21 ""Кола"" научастке км 254+000 - км 283+000, Вологодская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";18.02.2021;14 225 502,00 ₽;;;;;;;;;;;;;;
№ 0373200013221000009;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0373200013221000009;Подача заявок;"Выполнение работ по проектированию (изменению) границ земель, на которых располагаются леса, выполняющие функции защиты природных и иных объектов (леса, расположенные в зеленых зонах) Московской области по объекту: «Строительство подъездной автомобильнойдорогик садоводческим некоммерческим товариществам ""Василек"", ""Ромашка"", ""Квант 88"", ""Флора"", ""Дубовка"", ""Алесь 2002"", ""Южное"", ""Архангельское1"", ""Архангельское2"", ""Архангельское3"" Нарофоминского городского округа Московской области (1,2,3,4,5 этапы)»";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""РАЗВИТИЕ МОСКОВСКОГО РЕГИОНА""";18.02.2021;910 000,00 ₽;;;;;;;;;;;;;;
№ 32110005115;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110005115;Подача заявок;Выполнение работ по ремонту внутрипортовойавтодороги;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКИЙМОРСКОЙ ТОРГОВЫЙ ПОРТ""";18.02.2021;1 715 000,00 ₽;;;;;;;;;;;;;;
№ 0124300028921000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300028921000009;Подача заявок;Выполнение работ по  ремонту автомобильныхдорогобщего пользования местного значения  и тротуаров на территории  городского округаАрхангельскойобласти «Котлас»;"УПРАВЛЕНИЕ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГААРХАНГЕЛЬСКОЙОБЛАСТИ ""КОТЛАС""";17.02.2021;27 431 787,36 ₽;;;;;;;;;;;;;;
№ 0330100010521000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000017;Определение поставщика завершено;"Оказание услуг по техническомуобслуживанию инженерно-технических средств (систем) обеспечения транспортнойбезопасности на объекте: ""Мост через р. Шексна на км 84+275 автомобильнойдорогиА-114 Вологда - Тихвин - автомобильнаядорогаР-21 ""Кола"", п.Шексна (0,5 км)""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.02.2021;2 210 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000017;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ ЭЛЕКТРОМОНТАЖНАЯ КОМПАНИЯ""";1 - Победитель;1 300 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ВЗРЫВОБЕЗОПАСНОСТИ""";2 - Второй номер;1 366 850,00;;;;;;
№ 0124300022121000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000024;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";16.02.2021;250 286,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000024;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Дорофеев П. А.;;250 286,40;;;;;;
№ 0124200000621000554;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0124200000621000554;Подача заявок;Выполнение инженерных изысканий и осуществление подготовки проектной документации в целях строительства объекта капитального строительства автомобильнойдорогиОнега-Тамица-Кянда на участке Тамица-Кянда в Онежском районеАрхангельскойобласти  (первый этап);КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;16.02.2021;7 800 000,00 ₽;;;;;;;;;;;;;;
№ 0348100042421000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042421000010;Подача заявок;"Выполнение работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва – Ярославль – Вологда –Архангельскна участке км 22+100 –  км 29+500  (лево 1,2 полосы), Московская область; Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва – Ярославль – Вологда –Архангельскна участке км 22+100 –  км 29+500  (право 1,2 полосы), Московская область (лот 12)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.02.2021;168 997 364,29 ₽;;;;;;;;;;;;;;
№ 0330100010521000016;https://zakupki.gov.ru//epz/order/notice/oku504/view/common-info.html?regNumber=0330100010521000016;Определение поставщика отменено;"Капитальный ремонт моста через левый рукав реки Северная Двина на км 1+883 автомобильнойдорогиПодъезд к международному аэропорту ""Архангельск"" (Талаги) от федеральной автомобильнойдорогиМ-8 ""Холмогоры"",Архангельскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.02.2021;2 468 897 549,00 ₽;;;;;;;;;;;;;;
№ 32109993492;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109993492;Закупка завершена;Субподрядные работы по разборке/сборке сезонного низководного моста через р.Вага на км 3+747 автомобильнойдорогиКраски – Благовещенское в Вельском районеАрхангельскойобласти;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОДОРМОСТ""";15.02.2021;7 404 070,00 ₽;;;;;;;;;;;;;;
№ 32109993129;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109993129;Закупка завершена;Субподрядные работы по разборке/сборке сезонного низководного моста через р.Кокшеньга на км 4+942 автомобильнойдорогиБлаговещенское – Ручьево в Вельском районеАрхангельскойобласти;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОДОРМОСТ""";15.02.2021;4 319 041,00 ₽;;;;;;;;;;;;;;
№ 0155200002221000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155200002221000031;Определение поставщика завершено;Капитальный ремонт водопропускной трубы на км 0+820 автомобильнойдороги«М-5 «Урал» – г. Городище – с.Архангельское» Городищенского района Пензенской области;УПРАВЛЕНИЕ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ И ЗАКУПКАМ ПЕНЗЕНСКОЙ ОБЛАСТИ;12.02.2021;8 475 101,59 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0155200002221000031;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И ДОРОЖНОГО ХОЗЯЙСТВА ПЕНЗЕНСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТОВИК""";1 - Победитель;7 161 460,78;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""";2 - Второй номер;7 203 836,29;;;;;;
№ 0124300022121000022;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000022;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";12.02.2021;981 918,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000022;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;;;;;;;;;;;
№ 0330100010521000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000015;Подача заявок;"Разработка рабочей документации по объекту: ""Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Строительство площадки отдыха на автомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна км 364+000, Ярославская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";12.02.2021;1 237 900,00 ₽;;;;;;;;;;;;;;
№ 32109981645;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109981645;Закупка завершена;Субподрядные работы по строительству  мостового перехода  через реку Устья на км 139+309 автомобильнойдорогиШангалы – Квазеньга – Кизема;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";11.02.2021;4 170 104,00 ₽;;;;;;;;;;;;;;
№ 32109981119;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109981119;Закупка завершена;Субподрядные работы по строительству подходов к мостовому переходу через реку Устья на км 139+309 автомобильнойдорогиШангалы – Квазеньга – Кизема в Устьянском районеАрхангельскойобласти (;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";11.02.2021;51 448 128,00 ₽;;;;;;;;;;;;;;
№ 32109980976;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109980976;Закупка завершена;Субподрядные работы  по строительству  мостового перехода через реку Устья на км 139+309 автомобильнойдорогиШангалы – Квазеньга – Кизема в Устьянском районеАрхангельскойобласти;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";11.02.2021;146 263 368,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000014;Определение поставщика завершено;"Установкакомплексов фотовидеофиксации нарушений правил дорожного движения на участках км757+172, км 1018+900 (средняя скорость с существующим комплексом на км1005+460), км 1062+660 - км 1080+500 (средняя скорость), км 1141+800,автомобильнойдорогиобщего пользования федерального значения М-8""Холмогоры"" Москва - Ярославль - Вологда -Архангельск(вАрхангельскойобласти)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;19 753 972,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000014;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЕ СИСТЕМЫ КОНТРОЛЯ""";1 - Победитель;19 655 202,14;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСРОБОТ""";2 - Второй номер;19 655 202,14;;;;;;
№ 0330100010521000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000013;Определение поставщика завершено;Установкакомплексов фотовидеофиксации нарушений правил дорожного движения на участках км456+570, км 484+600, км 572+700, автомобильнойдорогиобщего пользованияфедерального значения А-215 Лодейное Поле - Вытегра - Прокшино - Плесецк -Брин-Наволок (вАрхангельскойобласти);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;11 453 439,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000013;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСРОБОТ""";1 - Победитель;11 396 171,80;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЕ СИСТЕМЫ КОНТРОЛЯ""";2 - Второй номер;11 396 171,80;;;;;;
№ 0330100010521000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000012;Определение поставщика завершено;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна участке км 155+000 - км 160+900, Ярославская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;118 000 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010521000012;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;В течение десяти минут после начала проведения электронного аукциона ни один из его участников не подал предложение о цене контракта (ч.20 ст.68 44-ФЗ). По результатам рассмотрения вторых частей заявок принято решение о соответствии требованиям, установленным документацией об электронном аукционе, двух и более вторых частей заявок.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНОЕ УПРАВЛЕНИЕ""";1 - Победитель;118 000 000,00;;;;;;
№ 0330100010521000011;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000011;Подача заявок;"Выполнение работ в целях реализации проекта: ""Реконструкция автомобильнойдорогиА-114 Вологда - Новая Ладога до магистрали ""Кола"" (через Тихвин) на участке км 14+578 - км 35+000 в Вологодской области, 1 этап""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";09.02.2021;12 510 750,00 ₽;;;;;;;;;;;;;;
