№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 32009732093;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009732093;Закупка завершена;Оказание ветеринарных услуг для служебных собак дляАстраханскогоотряда ВО филиала ФГП ВО ЖДТ России на Приволжской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";27.11.2020;72 000,00 ₽;;;;;;;;;;;;;;
№ 32009730157;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009730157;Закупка завершена;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 6305/ОАЭ-ТЭ/20 на право заключения договора выполнения комплекса строительно-монтажных работ, включающего поставку оборудования, по объекту «Техническое перевооружение контактной сети на ст.Астрахань-2. Замена негабаритных опор»;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";26.11.2020;13 693 771,25 ₽;;;;;;;;;;;;;;
№ 32009725657;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009725657;Закупка завершена;Оказание услуг по предоставлению учебно-материальной базы для организации проведения периодической проверки у работниковАстраханскогоотряда на пригодность к действиям в условиях, связанных с применением огнестрельного оружия и специальных средств и аренда тира для проведения практических стрельб для нуждАстраханскогоотряда филиала ФГП ВО ЖДТ России на Приволжской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.11.2020;1 054 500,00 ₽;;;;;;;;;;;;;;
№ 0354100008420000097;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100008420000097;Определение поставщика завершено;"Ремонт автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 Дон - Тамбов - Волгоград -Астрахань(подъезд к г. Саратов) на участке км 444+200 - км 455+200, Воронежская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.11.2020;235 351 494,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354100008420000097;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОГИ ЧЕРНОЗЕМЬЯ""";;235 351 494,00;10.12.2021;17.12.2020;3616013637;394033, ОБЛ ВОРОНЕЖСКАЯ 36, Г ВОРОНЕЖ, УЛ ЗЕМЛЯЧКИ, ДОМ 25;7-4732-001510dorogi36@gmail.com;
№ 0825300004220000043;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825300004220000043;Определение поставщика завершено;Ремонт автомобильныхдорогобщего пользования местного значения по ул. Эспланадная, ул. М.Горького, ул. А.Королева в г.Астрахани;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАСТРАХАНЬ""";24.11.2020;151 712 298,67 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825300004220000043;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АСТРАХАНЬ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАХАНГЛАВСНАБ""";1 - Победитель;132 748 261,42;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КММ-МОТОРС""";2 - Второй номер;133 506 822,91;31.12.2021;17.12.2020;3015099911;414011, ОБЛ АСТРАХАНСКАЯ, Г АСТРАХАНЬ, УЛ УКРАИНСКАЯ, ДОМ 3, ЛИТЕР В3;79648874937agsdor@yandex.ru;
№ 0825300004220000042;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825300004220000042;Определение поставщика завершено;Ремонт автомобильныхдорогобщего пользования местного значения по ул. Августовская, ул. Маркина, ул. М.Максаковой, ул. Ю.Селенского, ул. Автозаправочная в Ленинском районе г.Астрахани;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАСТРАХАНЬ""";24.11.2020;202 800 023,81 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825300004220000042;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АСТРАХАНЬ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАХАНГЛАВСНАБ""";1 - Победитель;197 730 023,21;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРМОСТСТРОЙ""";2 - Второй номер;198 744 023,33;31.12.2021;21.12.2020;3015099911;414011, ОБЛ АСТРАХАНСКАЯ, Г АСТРАХАНЬ, УЛ УКРАИНСКАЯ, ДОМ 3, ЛИТЕР В3;79648874937agsdor@yandex.ru;
№ 0825300004220000041;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825300004220000041;Определение поставщика завершено;Ремонт автомобильныхдорогобщего пользования местного значения по ул. 5-ая Керченская, ул. К.Краснова в Трусовском районе г.Астрахани;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАСТРАХАНЬ""";24.11.2020;69 459 156,79 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825300004220000041;"УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АСТРАХАНЬ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАХАНГЛАВСНАБ""";1 - Победитель;68 417 269,45;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЗИР""";2 - Второй номер;68 764 565,23;31.12.2021;17.12.2020;3015099911;414011, ОБЛ АСТРАХАНСКАЯ, Г АСТРАХАНЬ, УЛ УКРАИНСКАЯ, ДОМ 3, ЛИТЕР В3;79648874937agsdor@yandex.ru;
№ 0321100019420000145;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321100019420000145;Определение поставщика завершено;Ремонт моста через оросительный канал на км 388+500автомобильнойдорогиР-215Астрахань- Кочубей - Кизляр - Махачкала, РеспубликаДагестан;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАВКАЗ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.11.2020;13 587 224,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0321100019420000145;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""КАВКАЗ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;В течение десяти минут после начала проведения электронного аукциона ни один из его участников не подал предложение о цене контракта (ч.20 ст.68 44-ФЗ). По результатам рассмотрения вторых частей заявок принято решение о соответствии требованиям, установленным документацией об электронном аукционе, двух и более вторых частей заявок.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙРЕСУРС""";1 - Победитель;13 587 224,00;31.05.2021;22.12.2020;2624034886;01.01.2021;13 096 314,00  руб.;
№ 0825500000620000161;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000161;Определение поставщика завершено;Оснащение испытательной лаборатории средствами измерения, испытательным и вспомогательным лабораторным оборудованием для испытаний дорожно-строительных материалов, конструкций, изделий;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";23.11.2020;103 274 848,54 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000161;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТЕСТ""";;103 274 848,54;31.12.2021;18.12.2020;7842426522;191167, Г САНКТ-ПЕТЕРБУРГ, УЛ АЛЕКСАНДРА НЕВСКОГО, ДОМ 9, ЛИТЕР А, ПОМЕЩЕНИЕ 14Н-6 (304);7-911-0800278info@euro-test.ru;
№ 0825500000620000160;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000160;Определение поставщика завершено;Поставка и установка дорожного удерживающего бокового ограждения на автомобильныхдорогахобщего пользования регионального значения и межмуниципального значенияАстраханскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";20.11.2020;123 206 744,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000160;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНО-МОНТАЖНОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ 61""";1 - Победитель;122 590 710,28;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ПРОДМАШ""";2 - Второй номер;122 590 710,28;31.12.2020;23.12.2020;6141043390;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНО-МОНТАЖНОЕ СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ 61""Код по ОКПО:12127444ИНН:6141043390КПП:616401001Датапостановкина учет:18.01.2013";344082, ОБЛ РОСТОВСКАЯ, Г РОСТОВ-НА-ДОНУ, УЛ БЕРЕГОВАЯ, ДОМ 15, ЛИТЕР А, ЭТАЖ 3  офис 306;
№ 0125300005920000072;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0125300005920000072;Определение поставщика завершено;Оказание услуг по изготовлению технической документации для постановки на кадастровый и бесхозяйный учет автомобильныхдорогместного значения Ахтубинского района,Астраханскойобласти.;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН""АСТРАХАНСКОЙОБЛАСТИ";20.11.2020;125 333,33 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0125300005920000072;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""АХТУБИНСКИЙ РАЙОН"" АСТРАХАНСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГЕНТСТВО НЕЗАВИСИМОЙ ОЦЕНКИ И СУДЕБНЫХ ЭКСПЕРТИЗ""";1 - Победитель;69 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАДАСТР ПОВОЛЖЬЯ""";2 - Второй номер;81 400,00;30.12.2021;15.12.2020;3016060755;414056, ОБЛ АСТРАХАНСКАЯ 30, Г АСТРАХАНЬ, УЛ МОСКОВСКАЯ, 89, 62;7-8512-306454info@astra-ocenka.ru;
