№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0306100000421000026;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000026;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоев на автомобильнойдорогеР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, подъезд к г. Кемь на участке км 0+000 - км 13+378, Республика Карелия. Приемочная диагностика объекта после проведения работ по устройству защитных слоев.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;317 587,00 ;;;;;;;;;;;;;;
№ 0306100000421000025;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000025;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоёв, слоев износа на автомобильнойдорогеА-119 Вологда — Медвежьегорск - автомобильнаядорогаР-21 ""Кола"" на участке км 403 - км 464, Республика Карелия. Приемочная диагностика объекта после проведения работ по устройству защитных слоев, слоев износа.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;1 615 000,00 ;;;;;;;;;;;;;;
№ 0306100000421000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000024;Подача заявок;"Ремонт автомобильнойдорогиР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 1388 - км 1390, Мурманская область. Приемочная диагностика объекта после проведения работ по ремонту.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;120 000,00 ;;;;;;;;;;;;;;
№ 0306100000421000023;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000023;Подача заявок;Проведение работ в целях установления придорожных полос автомобильныхдорогфедерального значения, обозначения их на местности и внесения сведений о них в государственный кадастр недвижимости;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;4 581 666,00 ;;;;;;;;;;;;;;
№ 0172300004721000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300004721000007;Подача заявок;Выполнение работ по благоустройству территории МО № 15;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ № 15;31.03.2021;4 562 831,00 ;;;;;;;;;;;;;;
№ 0306100000421000022;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000022;Подача заявок;"Проведение работ по государственной регистрации прав на объекты недвижимости дорожного хозяйства федеральной собственности АвтомобильнаядорогаР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, подъезд к г.Беломорск, подъезд к г.Кемь, подъезд к г.Североморск";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;1 878 330,00 ;;;;;;;;;;;;;;
№ 0336100012521000030;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000030;Подача заявок;...  целях установления придорожных полос автомобильнойдорогиобщего пользования федерального значения Р ...  целях установления придорожных полос автомобильнойдорогиобщего пользования федерального значения М ...  «Россия» Москва – Тверь – Великий Новгород –Санкт-Петербург, обозначения их на местности и ...;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;58 420 000,00 ;;;;;;;;;;;;;;
№ 0336100012521000029;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000029;Подача заявок;Капитальный ремонт автомобильнойдорогиМ-10 «Россия» Москва – Тверь – Великий Новгород –Санкт-Петербургна участке км 271+000 – км 292+000, Тверская область. II этап км 281+500 – км 292+000;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;1 315 931 821,00 ;;;;;;;;;;;;;;
№ 0372200146821000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0372200146821000010;Подача заявок;Выполнение работ по замене асфальтового покрытия;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 26 КОМБИНИРОВАННОГО ВИДА ВАСИЛЕОСТРОВСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;31.03.2021;1 125 453,25 ;;;;;;;;;;;;;;
№ 32110147014;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110147014;Подача заявок;Выполнение проектно-изыскательских и строительно-монтажных работ по строительству тепловой сети для подключения объекта по адресу: г.Санкт-Петербург, территория, ограниченная Михайловскойдорогой, дорогойна Каменку, границами территориальных зон ТЗЖ2, Т1Ж2-2, этап 1-2;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКССАНКТ-ПЕТЕРБУРГА""";31.03.2021;198 000 000,00 ;;;;;;;;;;;;;;
№ 32110146569;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110146569;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 1558/ОАЭ-ЦДПО/21 на право заключения договора выполнения работ по текущему ремонту и текущему содержанию объектов пригородной инфраструктурыСанкт- Петербургского, Волховстроевского региональных участков Октябрьской дирекции пассажирских обустройств;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.03.2021;59 400 000,00 ;;;;;;;;;;;;;;
№ 32110145720;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110145720;Подача заявок;№ 5617/ЗКТОЭ-АО «РЖДстрой»/21 на право заключения договора, на выполнение работ по капитальному ремонту на объектах Октябрьской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";31.03.2021;;;;;;;;;;;;;;;
№ 32110145054;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110145054;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 1531/ОАЭ-ЦДПО/21 на право заключения договора выполнения работ по текущему ремонту и текущему содержанию объектов пригородной инфраструктурыСанкт-Петербург- Витебского регионального участка Октябрьской дирекции пассажирских обустройств;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.03.2021;59 400 000,00 ;;;;;;;;;;;;;;
№ 0306100000421000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000021;Подача заявок;"Капитальный ремонт автомобильнойдорогиР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 773 - км 786, Республика Карелия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.03.2021;1 048 133 623,00 ;;;;;;;;;;;;;;
№ 0306100000421000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000020;Подача заявок;"Выполнение работ в целях компенсационного озеленения за снос зеленых насаждений при проведении работ на объекте: ""Строительство и реконструкция участков автомобильнойдорогиР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия. Реконструкция автомобильнойдорогиР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия. Подъезд к г. Мурманск на участке км 14+297 - км 19+027, Мурманская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;603 460,00 ;;;;;;;;;;;;;;
№ 0306100000421000019;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000019;Подача заявок;Ремонт автомобильнойдорогиР-21 «Кола»Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 1388 - км 1390, Мурманская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;54 298 387,91 ;;;;;;;;;;;;;;
№ 0306100000421000018;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000018;Подача заявок;"Ремонт автомобильнойдорогиА-121 ""Сортавала""Санкт-Петербург- Сортавала - автомобильнаядорогаР-21 ""Кола"" на участке км 215 - км 240, Республика Карелия; Ремонт автомобильнойдорогиА-121 ""Сортавала""Санкт-Петербург- Сортавала - автомобильнаядорогаР-21 ""Кола"" на участке км 240 - км 262, Республика  Карелия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;765 170 014,51 ;;;;;;;;;;;;;;
№ 0306100000421000017;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000017;Подача заявок;"Ремонт автомобильнойдорогиР-21 «Кола»Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 1409 - км 1430, Мурманская область; Ремонт автомобильнойдорогиР-21 «Кола»Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия на участке км 1431 - км 1450, Мурманская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;706 062 628,00 ;;;;;;;;;;;;;;
№ 0306100000421000016;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000016;Подача заявок;Ремонт автомобильнойдорогиР-21 «Кола»Санкт-Петербург– Петрозаводск – Мурманск – Печенга – граница с Королевством Норвегия на участке км 1040+500 – км 1051, Республика Карелия;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;222 252 358,00 ;;;;;;;;;;;;;;
№ 0306100000421000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306100000421000015;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство защитных слоев на автомобильнойдорогеР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия, подъезд к г. Кемь на участке км 0+000 - км 13+378, Республика Карелия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;104 293 693,10 ;;;;;;;;;;;;;;
№ 0336100012521000028;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000028;Подача заявок;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Уверь на км 131+147 автомобильнойдорогиА-122 автомобильнаядорогаА-114 - Устюжна - Крестцы - Яжелбицы - Великие Луки - Невель, Устюжна - Валдай, Новгородская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;9 366 191,50 ;;;;;;;;;;;;;;
№ 0372100009921000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009921000018;Подача заявок;Лот № 29: Выполнение комплекса работ по нанесению горизонтальной дорожной разметки в рамках выполнения работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения в г.Санкт-Петербурге, Ленинградской, Псковской и Калининградской областях в 2021-2022 гг.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;2 040 032 410,00 ;;;;;;;;;;;;;;
№ 32110140487;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110140487;Подача заявок;№ 3129/ЗКТОЭ-АО «РЖДстрой»/21 на право заключения договора, на выполнение комплекса строительно-монтажных работ на объектах Октябрьской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";30.03.2021;;;;;;;;;;;;;;;
№ 0336100012521000027;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000027;Подача заявок;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Руна на км 71+136 автомобильнойдорогиА-122 автомобильнаядорогаА-114 - Устюжна - Крестцы - Яжелбицы - Великие Луки - Невель, Демянск - Марево - Холм, Новгородская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.03.2021;8 100 976,00 ;;;;;;;;;;;;;;
№ 32110140056;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110140056;Подача заявок;Поставка смазок и технических жидкостей для обслуживания автомобилейСанкт-Петербургскогоотряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";30.03.2021;287 872,00 ;;;;;;;;;;;;;;
№ 32110139397;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110139397;Закупка завершена;Оказание услуг по использованию функциональных возможностей программы для ЭВМ на базе Облачной платформы по ведению управленческого и оперативного учета плановых и аварийных вскрытий надорогах Санкт-Петербургас последующим отслеживанием транспортно-эксплуатационного состояния посредством предоставления удаленного доступа через сеть Интернет;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ ПРЕДПРИЯТИЕ""ЦЕНТР""";30.03.2021;476 570,00 ;;;;;;;;;;;;;;
№ 0172200001421000045;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172200001421000045;Подача заявок;Выполнение работ по ремонту асфальтового покрытия на территории ГБДОУ детский сад №17 Кировского районаСанкт-Петербургапо адресу:Санкт-Петербург, ул. Подводника Кузьмина, д.40, лит.А;АДМИНИСТРАЦИЯ КИРОВСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;30.03.2021;3 484 676,62 ;;;;;;;;;;;;;;
№ 32110136737;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110136737;Подача заявок;Выполнение работ по содержанию и ручной уборке автомобильныхдорогобщего пользования регионального значения в Кронштадтском районеСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ""КУРОРТНОЕ""";30.03.2021;9 927 548,39 ;;;;;;;;;;;;;;
