№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0176200005521000203;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000203;Определение поставщика завершено;Ремонт автомобильнойдорогиКрасногвардейское - Адамий - Чумаков на участках км 7+400 - 11+800, км 17+204 - 19+204 МО «Красногвардейский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;96 804 310,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000203;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БАК-СТРОЙ;;96 804 310,00;;;;;
№ 0176200005521000202;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000202;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к с. Унароково на км 3+364 - 3+964 МО «Кошехабльский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;5 455 901,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000202;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕХАБЛЬСКИЙ ДОРОЖНЫЙ РЕМОНТНО-СТРОИТЕЛЬНЫЙ УЧАСТОК""";;5 428 621,49;;;;;
№ 0176200005521000200;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000200;Определение поставщика завершено;Ремонт автомобильнойдорогиПонежукай - Пшикуйхабль на км 0+054 - 2+364 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;22 142 531,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000200;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕУЧЕЖСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";;22 031 818,34;;;;;
№ 0176200005521000199;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000199;Определение поставщика завершено;Ремонт автомобильнойдорогиХанская - Белореченск на км 3+000 - 4+000 МО «Город Майкоп» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;13 287 157,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000199;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;13 220 721,21;01.04.2022;30.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176200005521000198;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000198;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к пгт. Энем (участок №1) на км 0+819 - 2+446 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;21 037 619,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000198;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";;1 - Победитель;18 933 857,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТИНЕНТ""";2 - Второй номер;19 039 045,10;;;;;
№ 0176200005521000196;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000196;Определение поставщика завершено;Ремонт автомобильнойдорогиЭнем - Новобжегокай на км 1+420 - 2+607 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;11 281 840,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000196;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";;1 - Победитель;10 179 498,80;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТИНЕНТ""";2 - Второй номер;10 235 908,00;;;;;
№ 0176200005521000195;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000195;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к а. Псейтук на км 0+970 - 1+881 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;8 921 224,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000195;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";0107032005;1 - Победитель;8 425 393,88;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМТЕХСТРОЙ""";2 - Второй номер;8 470 000,00;01.04.2022;30.03.2021;385100, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ТАХТАМУКАЙСКИЙ,  АУЛ ТАХТАМУКАЙ,  УЛ ЮЖНАЯ, ДОМ 54, ОФИС 5;79180101041Fdrsu67@mail.ru;
№ 0176200005521000193;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000193;Определение поставщика завершено;Ремонт автомобильнойдорогиСуповский - Отрадный на участках км 0+025 - 1+146, км 1+158 - 2+701 МО «Тахтамукайский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;05.03.2021;24 929 484,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000193;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ТАХТАМУКАЙСКОЕ ДРСУ""";0107032005;1 - Победитель;24 680 189,16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСПОРТНО-ДОРОЖНАЯ КОМПАНИЯ""";2 - Второй номер;24 804 836,58;01.04.2022;30.03.2021;385100, Российская Федерация,  РЕСП АДЫГЕЯ,  Р-Н ТАХТАМУКАЙСКИЙ,  АУЛ ТАХТАМУКАЙ,  УЛ ЮЖНАЯ, ДОМ 54, ОФИС 5;79180101041Fdrsu67@mail.ru;
№ 0176200005521000191;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000191;Определение поставщика завершено;Ремонт автомобильнойдорогиПонежукай - Городской - Габукай на км 10+400 - 12+400 МО «Теучежский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;17 903 362,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000191;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕУЧЕЖСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";;1 - Победитель;17 813 845,19;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМТЕХСТРОЙ""";2 - Второй номер;17 813 845,19;;;;;
№ 0176200005521000189;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000189;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к х. Дъякову на участках км 0+500 - 1+000, км 3+000 - 4+500 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;20 407 336,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000189;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;20 407 336,00;01.04.2022;30.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176200005521000188;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000188;Определение поставщика завершено;Ремонт автомобильнойдорогиподъезд к с. Георгиевскому на км 2+680 - 4+395 МО «Гиагинский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;15 550 688,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000188;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;0105071810;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 3""";;15 472 934,56;01.04.2022;30.03.2021;385001, Российская Федерация,  РЕСП АДЫГЕЯ,  Г МАЙКОП,  УЛ ЖЕЛЕЗНОДОРОЖНАЯ,  332,;78772545048dsu3@list.ru;
№ 0176200005521000185;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0176200005521000185;Определение поставщика завершено;Ремонт автомобильнойдорогиМайкоп - Туапсе на участках км 12+800 - 16+479, км 22+500 - 23+500 МО «Майкопский район» РеспубликиАдыгея;КОМИТЕТ РЕСПУБЛИКИАДЫГЕЯПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;04.03.2021;53 696 842,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0176200005521000185;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АДЫГЕЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""АДЫГЕЯАВТОДОР""";;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""МАЙКОПСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";;53 696 842,00;;;;;
