№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0860400000320000033;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000320000033;Определение поставщика завершено;"Выполнение работ по объекту «Ремонт автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астрахань(подъезд к городу Саратов) на участке км 586+000 - км 600+000, Саратовская область»";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.10.2020;503 993 896,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0860400000320000033;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""Г.П.Б.""";;503 993 896,00;31.12.2021;15.12.2020;6453039600;410062, ОБЛ САРАТОВСКАЯ 64, Г САРАТОВ, СТ ТРОФИМОВСКИЙ-2, ПРОМЗОНА.;8-8452-572757gpb2012@yandex.ru;
№ 32009607747;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009607747;Закупка завершена;Выполнение комплекса кадастровых работ в отношении объектов недвижимости: подъезднаяавтодорогаи земельный участок для эксплуатации объекта «Рассолопровод» для нуждАстраханскогогазоперерабатывающего завода ООО «Газпром переработка» в 2021 году;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПЕРЕРАБОТКА""";22.10.2020;298 682,80 ₽;;;;;;;;;;;;;;
№ 32009603898;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009603898;Закупка завершена;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 3405/ЗКТЭ-ТЭ/20 на право заключения договора на выполнение работ по текущему ремонту воздушных линий электропередачиАстраханскойдистанции электроснабжения.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.10.2020;4 092 740,40 ₽;;;;;;;;;;;;;;
№ 0825500000620000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0825500000620000133;Определение поставщика завершено;Замена трансформатора;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕАСТРАХАНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";21.10.2020;241 616,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0825500000620000133;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";Уткин Д. М.;1 - Победитель;190 723,23;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-МАРКЕТИНГОВАЯ КОМПАНИЯ ""ПМК-77""";2 - Второй номер;191 931,31;31.12.2020;24.11.2020;Да;ОБЛ АСТРАХАНСКАЯ, Р-Н ВОЛОДАРСКИЙ, П ВОЛОДАРСКИЙ, д.2 кв.114;7-967-8214111solar_1988@list.ru;
№ 0318100043420000044;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043420000044;Определение поставщика завершено;"Проведение строительного контроля при осуществлении капитального ремонта автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астрахань, подъезд к г.Элиста на участке км 129+700 – км 137+000, Республика Калмыкия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";21.10.2020;23 349 493,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100043420000044;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ПО ИСПЫТАНИЯМ, ВНЕДРЕНИЮ, СЕРТИФИКАЦИИ ПРОДУКЦИИ, СТАНДАРТИЗАЦИИ И МЕТРОЛОГИИ""";1 - Победитель;8 639 312,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ССК ""НАДЗОР""";2 - Второй номер;-15 500 000,00;31.12.2021;16.02.2021;3015005286;31.12.2021;12.02.2021;
№ 0325300008520000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300008520000001;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения и искусственных дорожных сооружений на них в селе Вольное Харабалинского районаАстраханскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВОЛЕНСКИЙ СЕЛЬСОВЕТ""";19.10.2020;1 461 400,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300008520000001;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВОЛЕНСКИЙ СЕЛЬСОВЕТ""";Жилизняк А. С.;1 - Победитель;950 190,63;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ КА""";2 - Второй номер;955 674,06;31.12.2020;11.11.2020;Да;414004, г. Астрахань, ул. В. Барсовой, д.17, кв. 3.;8-960852-0896ozelenitel30@mail.ru;
№ 0318100043420000043;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043420000043;Определение поставщика завершено;"Капитальный ремонт автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астрахань, подъезд к г.Элиста на участке км 129+700 – км 137+000, Республика Калмыкия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";19.10.2020;835 318 124,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0318100043420000043;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРТЕХСТРОЙ""";1 - Победитель;831 141 533,38;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛ""";2 - Второй номер;834 900 000,00;31.12.2021;01.12.2020;0275064577;30.11.2021;01.10.2021;
№ 0325300006420000750;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0325300006420000750;Определение поставщика завершено;"Выполнение работ по диагностике автомобильныхдорогна территории МО ""ГородАстрахань""";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДАСТРАХАНЬ""";19.10.2020;7 949 900,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0325300006420000750;"УПРАВЛЕНИЕ ПО КОММУНАЛЬНОМУ ХОЗЯЙСТВУ И БЛАГОУСТРОЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД АСТРАХАНЬ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКИЕ ТЕХНОЛОГИИ""";1 - Победитель;1 112 064,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ЛОТОС """;2 - Второй номер;1 151 813,50;31.12.2020;24.11.2020;2634104229;355035, КРАЙ СТАВРОПОЛЬСКИЙ, Г СТАВРОПОЛЬ, УЛ Р.ЛЮКСЕМБУРГ, ДОМ 8Б, ОФИС 52;8-988-8412955Gkpm.gt@mail.ru;
№ 0364100001820000068;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001820000068;Определение поставщика завершено;Проведение строительного контроля при осуществлении капитального ремонта объекта: «Капитальный ремонт автомобильнойдорогиР-22 «Каспий» автомобильнаядорогаМ-4 «Дон» – Тамбов – Волгоград –Астраханьна участке км 617+000 – км 625+000, Воронежская область»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.10.2020;26 596 907,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0364100001820000068;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВМС ИНЖИНИРИНГ""";1 - Победитель;26 596 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАССДОРКОНТРОЛЬ""";2 - Второй номер;15 500 200,00;19.11.2022;30.11.2020;7717663406;127051, Г МОСКВА 77, ПЕР СУХАРЕВСКИЙ М., ДОМ 9, СТРОЕНИЕ 1, Э 2 П I КОМ 46 ОФ 20;;
№ 0364100001820000064;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001820000064;Определение поставщика завершено;"Капитальный ремонт автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов - Волгоград -Астраханьна участке км 617+000 - км 625+000, Воронежская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.10.2020;1 080 614 662,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0364100001820000064;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСК-ГРУПП""";1 - Победитель;1 080 614 662,00;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНОЕ ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ №52""";2 - Второй номер;1 080 614 662,00;18.11.2022;23.11.2020;7736249945;392036, ТАМБОВСКАЯ ОБЛ, Г ТАМБОВ, УЛ ИНТЕРНАЦИОНАЛЬНАЯ, ДОМ 30Е, ПОМЕЩЕНИЕ  81;поставщик (подрядчик, исполнитель), который в соответствии с контрактом обязан привлечь к исполнению контракта субподрядчиков, соисполнителей из числа субъектов малого предпринимательства;
