№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;ИНН;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;Адрес;Контакты;ФИО Руководителя
№ 0356200031321000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356200031321000008;Определение поставщика завершено;Поставка цемента;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГИ ТРАНСПОРТА""ПЕРМСКОГОКРАЯ";26.02.2021;64 891,20 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0356200031321000008;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";№2590219293421000026;5904326693;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРМТЕХНОЛОГИЯ""";50 586,17;23.03.2021 10:51 (МСК+2);;31.12.2021;23.03.2021;"Постановление Правительства РФ от 30.04.2020 № 617 ""Об ограничениях допуска отдельных видов промышленных товаров, происходящих из иностранных государств для целей осуществления закупок для обеспечения государственных и муниципальных нужд""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРМТЕХНОЛОГИЯ"" (ООО ""ПЕРМТЕХНОЛОГИЯ"")Код по ОКПО:52272392ИНН:5904326693КПП:590401001Датапостановкина учет:25.11.2015";
№ 0356200031321000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356200031321000007;Определение поставщика завершено;Оказание услуг по текущему ремонту специализированного автомобиля с заменой вышедших из строя комплектующих;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГИ ТРАНСПОРТА""ПЕРМСКОГОКРАЯ";26.02.2021;72 580,67 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0356200031321000007;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";№2590219293421000027;5902228073;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХ-ДИАГНОСТИКА""";72 580,67;23.03.2021 10:57 (МСК+2);;31.05.2021;23.03.2021;614015, г Пермь, ул Сибирская, д 14;83422070675office@gk-inteh.com;
№ 0356300126221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356300126221000002;Определение поставщика завершено;Выполнение работ по ремонту искусственных инженерных сооружений,предназначенных для движения пешеходов,на территории Мотовилихинского района городаПерми;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО МОТОВИЛИХИНСКОГО РАЙОНА""";26.02.2021;1 561 037,72 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0356300126221000002;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО МОТОВИЛИХИНСКОГО РАЙОНА""";№3590608555621000005;Да;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО МОТОВИЛИХИНСКОГО РАЙОНА""";САРГСЯН АРМАН МАРТИНОВИЧ;1 522 011,77;02.04.2021 9:37 (МСК+2);;08.09.2021;02.04.2021;614012, г Пермь, ул Карпинского, д 112, кв 73;89026391414narine8788@yandex.ru;
№ 0156600026721000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600026721000021;Определение поставщика завершено;"Ремонт автомобильнойдороги""Кунгур-Соликамск""-Поздянка (уч.Перебор - Поздянка) км 016+800 - км 018+210";УПРАВЛЕНИЕ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АДМИНИСТРАЦИИ БЕРЕЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;26.02.2021;2 378 905,16 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156600026721000021;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ БЕРЕЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;№3591821769421000018;Да;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ БЕРЕЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;БИЛЕТОВ ВЛАДИМИР ВЛАДИСЛАВОВИЧ;1 807 947,00;22.03.2021 16:49 (МСК+2);;31.12.2021;22.03.2021;617475, Пермский край, г Кунгур, ул Полетаевская, д 13, кв 1;89082657855biletov.v..v@mail.ru;
№ 0156600016921000058;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600016921000058;Определение поставщика завершено;"Ремонт автомобильнойдороги ""Пермь-Ильинский""- Сенькино-Усть - Гаревая (уч. ""Пермь-Ильинский""- Сенькино) км 020+450 - км 021+094";АДМИНИСТРАЦИЯ ДОБРЯНСКОГО ГОРОДСКОГО ОКРУГА;26.02.2021;6 764 584,77 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156600016921000058;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";№3591402624021000019;5908041272;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АССОЦИАЦИЯ ПРЕДПРИЯТИЙ ПО ТРАНСПОРТУ И ГРУЗОПЕРЕВОЗКАМ""";5 648 428,08;24.03.2021 12:31 (МСК+2);;01.09.2021;24.03.2021;614113, КРАЙ ПЕРМСКИЙ, ГОРОД ПЕРМЬ, УЛИЦА ЗАКАМСКАЯ, 37, Б, 71;89922091890aptg59@mail.ru;
№ 32110030083;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110030083;Закупка завершена;Поставка бытовой и климатической  техники для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;122 040,00 ;;;;;;;;;;;;;;
№ 32110028281;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110028281;Закупка отменена;Поставка автошин и автодисков для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.02.2021;131 400,00 ;;;;;;;;;;;;;;
№ 0156300000321000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156300000321000013;Определение поставщика завершено;Оказание услуг по техническому надзору (строительному контролю) за выполнением работ по ремонтудорогв п. ЗвёздныйПермскогокрая;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ЗВЁЗДНЫЙПЕРМСКОГОКРАЯ;25.02.2021;136 234,78 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156300000321000013;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ЗВЁЗДНЫЙ ПЕРМСКОГО КРАЯ;№3590410317521000029;5906115137;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ЗВЁЗДНЫЙ ПЕРМСКОГО КРАЯ;"Общество с ограниченной ответственностью ""Центр Строительного Инжиниринга""";23 841,97;01.04.2021 11:41 (МСК+2);;09.02.2022;01.04.2021;614056, г Пермь, ул Целинная 11, оф. 11;89026405120csiperm@yandex.ru;
№ 32110027817;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110027817;Закупка завершена;Поставка  хозяйственных товаров и моющих средств  для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.02.2021;189 906,52 ;;;;;;;;;;;;;;
№ 32110027497;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110027497;Закупка завершена;Поставка  бумаги для печати формата А4 для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.02.2021;100 450,00 ;;;;;;;;;;;;;;
№ 32110027151;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110027151;Закупка завершена;Поставка климатической техники для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.02.2021;48 120,00 ;;;;;;;;;;;;;;
№ 0156600042821000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600042821000019;Определение поставщика завершено;"Ремонт участка автомобильнойдороги""Нердва-Юрич"" км 002+900 - км 004+000";АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;25.02.2021;7 272 264,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156600042821000019;АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;№3593301274021000027;Да;АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;ДЖИНИСЯН МКРТИЧ СААКОВИЧ;4 403 638,68;26.03.2021 15:01 (МСК+2);;22.07.2021;26.03.2021;617210, Пермский край, Карагайский р-н, Карагай с, ул.КОМСОМОЛЬСКАЯ, д.8 - 16;83429732033ooostroyprestig@yandex.ru;
№ 0156600042821000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600042821000018;Определение поставщика завершено;"Ремонт участка автомобильнойдороги""Карагай-Сюзьвяки"" (уч. Карагай-Ярино) км 005+500 - км 006+500";АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;25.02.2021;11 000 003,00 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0156600042821000018;АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;№3593301274021000026;Да;АДМИНИСТРАЦИЯ КАРАГАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ;ДЖИНИСЯН МКРТИЧ СААКОВИЧ;7 314 999,94;26.03.2021 15:00 (МСК+2);;22.07.2021;26.03.2021;617210, Пермский край, Карагайский р-н, Карагай с, ул.КОМСОМОЛЬСКАЯ, д.8 - 16;83429732033ooostroyprestig@yandex.ru;
№ 0356200031321000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0356200031321000006;Определение поставщика завершено;Оказание услуг по техническому обслуживанию и текущему ремонту спецтехники;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГИ ТРАНСПОРТА""ПЕРМСКОГОКРАЯ";25.02.2021;343 434,99 ;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0356200031321000006;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";№2590219293421000029;5903032098;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ И ТРАНСПОРТА"" ПЕРМСКОГО КРАЯ";"Общество с ограниченной ответственностью ""СКАТ""";340 000,00;23.03.2021 12:50 (МСК+2);;31.12.2022;23.03.2021;Пермский край, г.Пермь, ул.Решетниковый спуск, д.1, литер Б, Б1, Д;2700010office@skat59.ru;
